2024-05-31 10:00:25,330 - Total number of samples: 875
2024-05-31 10:02:52,483 - Batch [4 / 54], Loss: 10.813292
2024-05-31 10:02:52,943 - Batch [5 / 54], Loss: 7.084752
2024-05-31 10:02:53,880 - Batch [6 / 54], Loss: 9.432014
2024-05-31 10:02:54,448 - Batch [7 / 54], Loss: 9.420867
2024-05-31 10:02:55,088 - Batch [8 / 54], Loss: 14.156760
2024-05-31 10:02:55,713 - Batch [9 / 54], Loss: 9.091455
2024-05-31 10:02:56,297 - Batch [10 / 54], Loss: 10.420135
2024-05-31 10:02:56,886 - Batch [11 / 54], Loss: 9.838219
2024-05-31 10:02:57,348 - Batch [12 / 54], Loss: 10.788805
2024-05-31 10:02:57,849 - Batch [13 / 54], Loss: 9.329591
2024-05-31 10:02:58,339 - Batch [14 / 54], Loss: 16.856575
2024-05-31 10:02:58,856 - Batch [15 / 54], Loss: 12.082022
2024-05-31 10:02:59,361 - Batch [16 / 54], Loss: 9.309116
2024-05-31 10:02:59,860 - Batch [17 / 54], Loss: 7.971476
2024-05-31 10:03:00,348 - Batch [18 / 54], Loss: 10.799530
2024-05-31 10:03:01,170 - Batch [19 / 54], Loss: 9.078662
2024-05-31 10:03:01,643 - Batch [20 / 54], Loss: 8.355000
2024-05-31 10:03:02,643 - Batch [21 / 54], Loss: 8.363881
2024-05-31 10:03:02,953 - Batch [22 / 54], Loss: 9.109235
2024-05-31 10:03:03,292 - Batch [23 / 54], Loss: 10.803199
2024-05-31 10:03:03,659 - Batch [24 / 54], Loss: 11.281663
2024-05-31 10:03:04,021 - Batch [25 / 54], Loss: 11.712048
2024-05-31 10:03:04,410 - Batch [26 / 54], Loss: 12.516827
2024-05-31 10:03:04,724 - Batch [27 / 54], Loss: 8.829228
2024-05-31 10:03:05,191 - Batch [28 / 54], Loss: 12.789035
2024-05-31 10:03:05,695 - Batch [29 / 54], Loss: 8.471194
2024-05-31 10:03:06,167 - Batch [30 / 54], Loss: 9.205003
2024-05-31 10:03:06,670 - Batch [31 / 54], Loss: 6.979641
2024-05-31 10:03:07,163 - Batch [32 / 54], Loss: 10.105113
2024-05-31 10:03:07,626 - Batch [33 / 54], Loss: 9.440952
2024-05-31 10:03:08,130 - Batch [34 / 54], Loss: 11.179413
2024-05-31 10:03:08,619 - Batch [35 / 54], Loss: 12.207798
2024-05-31 10:03:09,350 - Batch [36 / 54], Loss: 7.509405
2024-05-31 10:03:09,942 - Batch [37 / 54], Loss: 11.327170
2024-05-31 10:03:10,505 - Batch [38 / 54], Loss: 9.208243
2024-05-31 10:03:11,165 - Batch [39 / 54], Loss: 11.811602
2024-05-31 10:03:11,638 - Batch [40 / 54], Loss: 8.447749
2024-05-31 10:03:12,195 - Batch [41 / 54], Loss: 11.121722
2024-05-31 10:03:12,679 - Batch [42 / 54], Loss: 8.771047
2024-05-31 10:03:13,191 - Batch [43 / 54], Loss: 9.561365
2024-05-31 10:03:13,685 - Batch [44 / 54], Loss: 8.687330
2024-05-31 10:03:14,199 - Batch [45 / 54], Loss: 9.461372
2024-05-31 10:03:14,681 - Batch [46 / 54], Loss: 8.357163
2024-05-31 10:03:15,181 - Batch [47 / 54], Loss: 7.025609
2024-05-31 10:03:15,614 - Batch [48 / 54], Loss: 6.892476
2024-05-31 10:03:16,099 - Batch [49 / 54], Loss: 8.642673
2024-05-31 10:03:16,606 - Batch [50 / 54], Loss: 12.919388
2024-05-31 10:03:17,101 - Batch [51 / 54], Loss: 9.258839
2024-05-31 10:03:17,590 - Batch [52 / 54], Loss: 11.153267
2024-05-31 10:03:18,012 - Batch [53 / 54], Loss: 8.963755
2024-05-31 10:03:18,331 - Batch [54 / 54], Loss: 7.451634
2024-05-31 10:03:18,635 - Epoch Time: 0.46750173568725584 minutes
2024-05-31 10:03:18,636 - Epoch: 7
2024-05-31 10:03:18,636 - Current Learning Rate: [0.01]
2024-05-31 10:03:18,923 - Batch [1 / 54], Loss: 10.857856
2024-05-31 10:03:19,291 - Batch [2 / 54], Loss: 9.000896
2024-05-31 10:03:19,614 - Batch [3 / 54], Loss: 8.193177
2024-05-31 10:03:20,055 - Batch [4 / 54], Loss: 8.296910
2024-05-31 10:03:20,510 - Batch [5 / 54], Loss: 8.840828
2024-05-31 10:03:20,964 - Batch [6 / 54], Loss: 10.573099
2024-05-31 10:03:21,677 - Batch [7 / 54], Loss: 8.685687
2024-05-31 10:03:22,348 - Batch [8 / 54], Loss: 11.046573
2024-05-31 10:03:23,096 - Batch [9 / 54], Loss: 8.716309
2024-05-31 10:03:23,916 - Batch [10 / 54], Loss: 12.722844
2024-05-31 10:03:24,435 - Batch [11 / 54], Loss: 14.400191
2024-05-31 10:03:24,934 - Batch [12 / 54], Loss: 7.674760
2024-05-31 10:03:25,403 - Batch [13 / 54], Loss: 13.968532
2024-05-31 10:03:25,839 - Batch [14 / 54], Loss: 8.488011
2024-05-31 10:03:26,348 - Batch [15 / 54], Loss: 10.462462
2024-05-31 10:03:26,830 - Batch [16 / 54], Loss: 10.355109
2024-05-31 10:03:27,317 - Batch [17 / 54], Loss: 9.998158
2024-05-31 10:03:27,849 - Batch [18 / 54], Loss: 11.369405
2024-05-31 10:03:28,313 - Batch [19 / 54], Loss: 10.187572
2024-05-31 10:03:28,762 - Batch [20 / 54], Loss: 7.937818
2024-05-31 10:03:29,581 - Batch [21 / 54], Loss: 8.946275
2024-05-31 10:03:30,047 - Batch [22 / 54], Loss: 15.754966
2024-05-31 10:03:30,683 - Batch [23 / 54], Loss: 9.805803
2024-05-31 10:03:31,325 - Batch [24 / 54], Loss: 9.143378
2024-05-31 10:03:31,800 - Batch [25 / 54], Loss: 8.094791
2024-05-31 10:03:32,376 - Batch [26 / 54], Loss: 10.054694
2024-05-31 10:03:33,058 - Batch [27 / 54], Loss: 7.680612
2024-05-31 10:03:33,607 - Batch [28 / 54], Loss: 8.815036
2024-05-31 10:03:33,985 - Batch [29 / 54], Loss: 7.812081
2024-05-31 10:03:34,576 - Batch [30 / 54], Loss: 9.207082
2024-05-31 10:03:35,056 - Batch [31 / 54], Loss: 14.692446
2024-05-31 10:03:35,417 - Batch [32 / 54], Loss: 11.159724
2024-05-31 10:03:35,775 - Batch [33 / 54], Loss: 6.532909
2024-05-31 10:03:36,426 - Batch [34 / 54], Loss: 9.658391
2024-05-31 10:03:36,877 - Batch [35 / 54], Loss: 6.674757
2024-05-31 10:03:37,437 - Batch [36 / 54], Loss: 9.894212
2024-05-31 10:03:38,080 - Batch [37 / 54], Loss: 8.746023
2024-05-31 10:03:38,552 - Batch [38 / 54], Loss: 8.598372
2024-05-31 10:03:39,042 - Batch [39 / 54], Loss: 8.186954
2024-05-31 10:03:39,515 - Batch [40 / 54], Loss: 8.982001
2024-05-31 10:03:40,044 - Batch [41 / 54], Loss: 8.954612
2024-05-31 10:03:40,543 - Batch [42 / 54], Loss: 8.949378
